"success "," initial_sync_agreement "," final_sync_agreement "," i_amail_sync_agreement "," f_amail_sync_agreement ","initial_diac_agreement_1 "," final_diac_agreement_1 "," e_count_1 "," g_count_1 "," l_ini_sync_1 "," i_cover_1 "," l_fin_sync_1 "," f_cover_1 "," initial_diac_agreement_2 "," final_diac_agreement_2 "," e_count_2 "," g_count_2 "," l_ini_sync_2 "," i_cover_2 "," l_fin_sync_2 "," f_cover_2 "," strategy "," domain "," threshold "," abui_t "," iterations "," nb_examples "," nb_concerned "," concerned_rt "," redundancy "," exch_ratio "," nb_overlap "," nb_hyponym "," nb_synonym "," nb_homonym "," i_total "," i_self "," i_overlap "," i_hypohyper "," i_syn "," i_hom "," i_blind "," i_un "," f_total "," f_self "," f_overlap "," f_hypohyper "," f_syn "," f_hom "," f_blind "," f_un "," i_total_1 "," i_self_1 "," i_overlap_1 "," i_hypohyper_1 "," i_syn_1 "," i_hom_1 "," i_blind_1 "," i_un_1 "," f_total_1 "," f_self_1 "," f_overlap_1 "," f_hypohyper_1 "," f_syn_1 "," f_hom_1 "," f_blind_1 "," f_un_1 "," i_total_2 "," i_self_2 "," i_overlap_2 "," i_hypohyper_2 "," i_syn_2 "," i_hom_2 "," i_blind_2 "," i_un_2 "," f_total_2 "," f_self_2 "," f_overlap_2 "," f_hypohyper_2 "," f_syn_2 "," f_hom_2 "," f_blind_2 "," f_un_2 "," initial concepts "," expected concepts "," observed concepts "," ft_number "," m_sort_size "," sd_sort_size "," m_id_size "," sd_id_size "," m_gen_size "," sd_gen_size "," shared_ft "," dimensions",,
1," 0.30612244897959184 "," 0.673469387755102 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,30," 0.2857142857142857 "," 0.9795918367346939 "," 0.6666666666666666 "," 0.673469387755102 "," 1.0 "," 1.0 ",2,34," 0.32653061224489793 "," 0.8979591836734694 "," 0.6938775510204082 "," 0.673469387755102 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.02040816326530612 ",1,2,0,0,7,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,2,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.30612244897959184 "," 0.8877551020408163 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,14," 0.3469387755102041 "," 0.9795918367346939 "," 0.9387755102040817 "," 0.9795918367346939 "," 1.0 "," 1.0 ",0,15," 0.2653061224489796 "," 0.9795918367346939 "," 0.8367346938775511 "," 0.9795918367346939 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.0 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3469387755102041 "," 0.8673469387755102 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",3,31," 0.32653061224489793 "," 0.9489795918367347 "," 0.8727272727272727 "," 0.9489795918367347 "," 1.0 "," 1.0 ",6,39," 0.3673469387755102 "," 0.9081632653061225 "," 0.8653846153846154 "," 0.8979591836734694 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.09183673469387756 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3163265306122449 "," 0.826530612244898 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",6,32," 0.2857142857142857 "," 0.9591836734693877 "," 0.8135593220338984 "," 0.8979591836734694 "," 1.0 "," 1.0 ",10,31," 0.3469387755102041 "," 0.9387755102040817 "," 0.8727272727272727 "," 0.8979591836734694 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.16326530612244897 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.29591836734693877 "," 0.7857142857142857 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",4,35," 0.2653061224489796 "," 0.9897959183673469 "," 0.7192982456140351 "," 0.9081632653061225 "," 1.0 "," 1.0 ",10,26," 0.32653061224489793 "," 0.9081632653061225 "," 0.7924528301886793 "," 0.9081632653061225 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.12244897959183673 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3333333333333333 "," 0.8686868686868687 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,70," 0.3333333333333333 "," 0.9696969696969697 "," 0.8715596330275229 "," 0.9343434343434344 "," 1.0 "," 1.0 ",10,58," 0.3333333333333333 "," 0.9848484848484849 "," 0.8585858585858586 "," 0.9343434343434344 "," EXT "," NC ",16," 0.75 ",25,200,198," 0.99 ",0," 0.050505050505050504 ",1,2,0,0,9,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,7,0,0,0,0,0,7,0,3,3,4,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.2777777777777778 "," 0.6414141414141414 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",16,61," 0.2828282828282828 "," 0.9696969696969697 "," 0.6 "," 0.6717171717171717 "," 1.0 "," 1.0 ",12,102," 0.2727272727272727 "," 0.9747474747474747 "," 0.6521739130434783 "," 0.6717171717171717 "," EXT "," NC ",16," 0.75 ",25,200,198," 0.99 ",0," 0.13636363636363635 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,5,0,0,0,0,0,5,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.30303030303030304 "," 0.9090909090909091 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",11,48," 0.30303030303030304 "," 1.0 "," 0.9393939393939394 "," 1.0 "," 1.0 "," 0.996969696969697 ",0,43," 0.30303030303030304 "," 0.9848484848484849 "," 0.8727272727272727 "," 1.0 "," EXT "," NC ",16," 0.75 ",25,200,198," 0.99 ",0," 0.05555555555555555 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,7,0,0,0,0,0,7,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,4,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3383838383838384 "," 0.8686868686868687 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,46," 0.36363636363636365 "," 0.9949494949494949 "," 0.898989898989899 "," 0.98989898989899 "," 1.0 "," 1.0 ",0,29," 0.31313131313131315 "," 1.0 "," 0.8383838383838383 "," 1.0 "," EXT "," NC ",16," 0.75 ",25,200,198," 0.99 ",0," 0.0 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3181818181818182 "," 0.8181818181818182 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,39," 0.30303030303030304 "," 0.9848484848484849 "," 0.8383838383838383 "," 0.9848484848484849 "," 1.0 "," 1.0 ",0,53," 0.3333333333333333 "," 1.0 "," 0.797979797979798 "," 1.0 "," EXT "," NC ",16," 0.75 ",25,200,198," 0.99 ",0," 0.0 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
